Site,Latitude,Longitude,Material,δ13C,Calibrated age range,RSL (m),Error (± m),Reference,Evidence,14C age,14C st dev
Plum Island,42.729,70.839,Salt marsh rhizome,-11.2,273-0,-0.66,0.95,Kirwan et al (2011),3,125,30
Plum Island,42.743,70.840,Salt marsh rhizome,-11.8,924-773,-1.02,0.84,Kirwan et al (2011),3,925,30
Plum Island,42.719,70.820,Ds,-13.4,506-324,-1.49,0.77,Kirwan et al (2011),1,385,25
Plum Island,42.732,70.840,Salt marsh rhizome,-12.4,279-0,-0.44,0.95,Kirwan et al (2011),3,130,35
Plum Island,42.729,70.823,Ds,-11.9,451-154,-0.88,0.84,Kirwan et al (2011),1,275,30
Plum Island,42.729,70.823,Ds,-13.7,535-315,-1.74,0.84,Kirwan et al (2011),1,415,60
,,,,,,,,,,,
,,,,,,,,,,,
Marine Limiting,,,,,,,,,,,
Boston,42.351,71.075,Estuarine Silt,,5567-4727,-7.66,0.27,Kaye and Barghoorn (1964),3,4450,130
Jeffreys Ledge,42.640,70.450,Marine shells,,4960-4540,-58.05,3.18,Oldale et al. (1993),3,4660,65
Jeffreys Ledge,42.655,70.415,Marine shells,,8027-7673,-61.06,3.19,Oldale et al. (1993),3,7500,75
,,,,,,,,,,,
Terrestrial Limiting,,,,,,,,,,,
Boston,42.346,71.080,Sedge peat,,4784-3878,-2.95,0.26,Kaye and Barghoorn (1964),3,3850,130
Boston,42.351,71.075,Fresh peat,,6729-6021,-7.12,0.27,Kaye and Barghoorn (1964),3,5600,140
Neponset River,42.270,71.050,Undiff peat,,1387-989,2.04,0.96,Redfield (1967),3,1310,95
Neponset River,42.270,71.050,Undiff peat,,1517-1017,1.74,0.96,Redfield (1967),3,1360,105
Neponset River,42.270,71.050,Undiff peat,,2034-1542,1.43,0.96,Redfield (1967),3,1860,100
Neponset River,42.270,71.050,Undiff peat,,2660-1648,1.31,0.96,Redfield (1967),3,2100,200
Neponset River,42.270,71.050,Undiff peat,,3381-2365,0.70,0.96,Redfield (1967),3,2790,200
Neponset River,42.270,71.050,Undiff peat,,3823-2793,0.22,0.96,Redfield (1967),3,3110,200
Boston,42.400,71.100,Fresh peat,,7669-5315,-6.33,0.27,Redfield and Rubin (1962),3,5717,550
Gloucester Point,42.750,70.800,Undiff peat,,2763-2185,0.80,0.95,Newman et al. (1980),3,2450,110
Gloucester Point,42.750,70.800,Undiff peat,,4226-3482,-0.95,0.95,Newman et al. (1980),3,3550,130
Gloucester Point,42.750,70.800,Undiff peat,,3920-3364,-0.60,0.95,Newman et al. (1980),3,3375,120
Gloucester Point,42.750,70.800,Undiff peat,,4377-3595,-1.56,0.95,Newman et al. (1980),3,3625,125
Gloucester Point,42.750,70.800,Undiff peat,,5277-4419,-2.49,0.95,Newman et al. (1980),3,4225,135
Gloucester Point,42.750,70.800,Undiff peat,,5912-5324,-5.20,0.95,Newman et al. (1980),3,4900,130
Gloucester Point,42.750,70.800,Undiff peat,,7464-6798,-10.09,0.96,Newman et al. (1980),3,6280,150
,,,,,,,,,,,
Southern Massachusetts,,,,,,,,,,,
Index Points,,,,,,,,,,,
Barnstable,41.710,70.370,Spartina peat,,4496-2284,-6.04,1.34,Redfield and Rubin (1962),2,3400,300
Barnstable,41.700,70.360,Spartina peat,,3556-2340,-3.61,1.34,Redfield and Rubin (1962),2,2800,250
Barnstable,41.700,70.360,Spartina peat,,4801-3391,-6.48,1.34,Redfield and Rubin (1962),2,3660,250
Barnstable,41.730,70.300,Salt peat,,1518-1150,-2.06,1.12,Stuiver et al. (1963),3,1400,80
